player_id,Name,Sex,Team,NOC,Year,Season,City,Sport,Event,Medal
0,A Dijiang,M,China,CHN,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,No medal
1,A Lamusi,M,China,CHN,2012,Summer,London,Judo,Judo Men's Extra-Lightweight,No medal
2,Gunnar Aaby,M,Denmark,DEN,1920,Summer,Antwerpen,Football,Football Men's Football,No medal
3,Edgar Aabye,M,Denmark/Sweden,DEN,1900,Summer,Paris,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
26,Cornelia (-strannood),F,Netherlands,NED,1932,Summer,Los Angeles,Athletics,Athletics Women's 100 metres,No medal
27,Cornelia (-strannood),F,Netherlands,NED,1932,Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,No medal
29,Einar Aalto,M,Finland,FIN,1952,Summer,Helsinki,Swimming,Swimming Men's 400 metres Freestyle,No medal
31,Jyri Aalto,M,Finland,FIN,2000,Summer,Sydney,Badminton,Badminton Men's Singles,No medal
32,Minna Aalto,F,Finland,FIN,1996,Summer,Atlanta,Sailing,Sailing Women's Windsurfer,No medal
33,Minna Aalto,F,Finland,FIN,2000,Summer,Sydney,Sailing,Sailing Women's Windsurfer,No medal
35,Arvo Aaltonen,M,Finland,FIN,1912,Summer,Stockholm,Swimming,Swimming Men's 200 metres Breaststroke,No medal
36,Arvo Aaltonen,M,Finland,FIN,1912,Summer,Stockholm,Swimming,Swimming Men's 400 metres Breaststroke,No medal
37,Arvo Aaltonen,M,Finland,FIN,1920,Summer,Antwerpen,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
38,Arvo Aaltonen,M,Finland,FIN,1920,Summer,Antwerpen,Swimming,Swimming Men's 400 metres Breaststroke,Bronze
39,Arvo Aaltonen,M,Finland,FIN,1924,Summer,Paris,Swimming,Swimming Men's 200 metres Breaststroke,No medal
41,Paavo Aaltonen,M,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
42,Paavo Aaltonen,M,Finland,FIN,1948,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Gold
